Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
VCJR11;Títulos e Val. Mob.;100.2;6816.0;0.61;0.61%;1.56%;2.69%;0,00%;0.52%;0.45%;0,00%;3.26%;-0.94%;-0.33%;-3.77%;593.330.950,01;102.1;98.0;0.33%;1.14%;1.47%;4.17%;;;0
XPLG11;Logística;127.21;60561.0;0.58;0.46%;1.36%;2.86%;5.9%;0.45%;0.48%;0.49%;3.82%;0.61%;1.07%;-2.77%;2.267.594.292,73;109.24;116.0;0.53%;0.06%;0.59%;3.68%;9,00%;;13
NEWL11;Híbrido;100.82;31.0;0.7;0.69%;1.71%;2.34%;0,00%;0.57%;0.39%;0,00%;3.5%;3.58%;4.3%;-14.9%;88.148.515,81;103;98.0;0.29%;0.46%;0.75%;3.49%;0,00%;;1
RDPD11;Títulos e Val. Mob.;84.49;4.0;0.31;0.37%;1.48%;2.79%;5.6%;0.49%;0.46%;0.47%;3.76%;2.08%;2.47%;-2.88%;104.961.572,45;97.36;87.0;0.32%;-0.25%;0.07%;2.75%;;;0
VRTA11;Títulos e Val. Mob.;104.77;24378.0;0.51;0.49%;1.91%;3.89%;7.31%;0.64%;0.65%;0.61%;5.13%;-6.26%;-5.8%;-16.28%;803.613.310,58;105.72;99.0;0.58%;0.57%;1.15%;4.6%;;;0
EURO11;Logística;214.61;182.0;0.75;0.35%;1.13%;2.29%;4.35%;0.38%;0.38%;0.36%;3,00%;4.35%;4.71%;5.98%;117.673.202,05;306.49;70.0;0.24%;-0.14%;0.1%;1.75%;0,00%;;6
VIFI11;Títulos e Val. Mob.;97.1;3573.0;0.65;0.66%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2.01%;-0.87%;-0.21%;0.43%;280.967.119,53;99.91;97.0;0.69%;-2.3%;-1.63%;0.58%;;;0
RNGO11;Lajes Corporativas;72.19;1759.0;0.42;0.58%;1.84%;3.55%;6.62%;0.61%;0.59%;0.55%;4.48%;3.53%;4.13%;-28.17%;274.521.013,55;102.59;70.0;0.41%;0.09%;0.5%;3.12%;20.3%;;3
VISC11;Shoppings;108.41;21730.0;0.15;0.14%;0.5%;1.31%;4.5%;0.17%;0.22%;0.38%;2.26%;5.67%;5.82%;-18.64%;1.732.376.271,38;121.39;89.0;0.15%;-0.15%;0,00%;1.81%;7.2%;;13
CTXT11;Lajes Corporativas;48;4261.0;0.38;0.77%;2.25%;4.63%;8.43%;0.75%;0.77%;0.7%;5.94%;1.86%;2.64%;-10.94%;138.487.493,76;53.38;90.0;0.71%;0.05%;0.77%;4.6%;8.6%;;1
RBED11;Outros;166.5;3854.0;1;0.59%;1.78%;3.76%;7.06%;0.59%;0.63%;0.59%;4.89%;3.48%;4.09%;-0.79%;267.336.056,26;149.58;111.0;0.67%;0.01%;0.68%;4.68%;0,00%;;5
VILG11;Logística;126;57560.0;0.6;0.47%;1.44%;2.88%;6.03%;0.48%;0.48%;0.5%;3.91%;4.12%;4.61%;-4.34%;793.992.389,36;112.8;112.0;0.53%;-0.05%;0.48%;6.83%;0,00%;;9
XPCI11;Outros;86.65;21669.0;0.6;0.69%;1.97%;4.04%;0,00%;0.66%;0.67%;0,00%;5.28%;4.9%;5.62%;-12.18%;649.462.533,01;98.9;88.0;0.58%;0.3%;0.88%;5.85%;;;0
BBPO11;Lajes Corporativas;136.15;32924.0;1.08;0.78%;2.14%;4.27%;8.24%;0.71%;0.71%;0.69%;5.57%;0.39%;1.17%;-10.3%;1.611.178.055,21;101.21;135.0;0.99%;-0.06%;0.93%;6.39%;0,00%;0,00%;64
JSRE11;Híbrido;99;24334.0;0.52;0.53%;1.48%;2.73%;5.41%;0.49%;0.45%;0.45%;3.51%;-0.21%;0.31%;-12.75%;2.330.108.080,14;112.2;88.0;0.45%;-0.02%;0.42%;-0.09%;3,00%;;4
XPSF11;Outros;96.98;9749.0;0.7;0.71%;2.27%;4.54%;0,00%;0.76%;0.76%;0,00%;5.25%;2.47%;3.2%;5.13%;327.982.150,74;97.91;99.0;0.71%;-2.22%;-1.52%;0.34%;;;0
PRSV11;Lajes Corporativas;357.31;18.0;1.92;0.53%;1.11%;3.04%;6,00%;0.37%;0.51%;0.5%;4.04%;3.65%;4.2%;-16.07%;71.042.146,64;364.32;98.0;0.55%;-0.04%;0.51%;-4.71%;19.06%;21.24%;2
BARI11;Títulos e Val. Mob.;106;2326.0;0.85;0.79%;2.15%;4.29%;8.68%;0.72%;0.72%;0.72%;5.6%;8.59%;9.44%;4.34%;221.457.133,34;99.12;107.0;0.72%;-0.13%;0.58%;3.95%;;;0
BBRC11;Outros;149.39;839.0;0.94;0.62%;2.11%;4.16%;8.19%;0.7%;0.69%;0.68%;5.4%;4.18%;4.83%;7.22%;174.820.923,98;109.95;136.0;0.58%;-0.46%;0.12%;5.56%;5.4%;2.1%;20
HGRU11;Híbrido;131.8;41048.0;0.68;0.52%;1.58%;3.39%;6.68%;0.53%;0.56%;0.56%;4.43%;2.15%;2.68%;3.51%;1.351.576.269,41;107.83;122.0;0.63%;0.02%;0.65%;4.04%;0,00%;0,00%;15
HGBS11;Shoppings;212.82;8214.0;0.25;0.12%;0.4%;1.15%;4.14%;0.13%;0.19%;0.35%;2.14%;4.48%;4.61%;-25.12%;2.252.175.945,37;225.22;94.0;0.11%;-0.76%;-0.65%;-4.29%;7.78%;;16
HGRE11;Lajes Corporativas;153;21696.0;0.65;0.44%;1.29%;2.5%;5.16%;0.43%;0.42%;0.43%;3.29%;4.9%;5.36%;-23.36%;1.767.401.722,70;163.46;94.0;0.4%;-0.01%;0.38%;2.58%;23.33%;22.97%;22
HGPO11;Lajes Corporativas;219.87;889.0;0.94;0.43%;1.31%;2.67%;5.2%;0.44%;0.45%;0.43%;3.49%;5.19%;5.64%;2.75%;336.054.966,47;203.67;108.0;0.46%;0.01%;0.47%;3.3%;0,00%;0,00%;2
RBVO11;Outros;20.6;326.0;0.15;0.71%;1.68%;2.72%;5.7%;0.56%;0.45%;0.48%;3.63%;-4.14%;-3.46%;-31.52%;15.362.809,44;29.78;69.0;0.33%;0.75%;1.09%;1.45%;;;0
BICR11;Títulos e Val. Mob.;99.89;14.0;0.28;0.29%;0.59%;1.7%;0,00%;0.2%;0.28%;0,00%;2.72%;-3.3%;-3.02%;-14.68%;49.778.482,84;99.56;100.0;0.14%;-0.28%;-0.14%;-4.74%;;;0
PLRI11;Títulos e Val. Mob.;41.97;112.0;0.19;0.44%;1.49%;3.06%;6.02%;0.5%;0.51%;0.5%;3.68%;14.02%;14.52%;-18.51%;56.570.675,51;59.28;71.0;0.36%;-5.19%;-4.86%;-12.89%;;;0
ARRI11;Títulos e Val. Mob.;77.2;2848.0;0.59;0.75%;1.87%;3.61%;0,00%;0.62%;0.6%;0,00%;4.28%;3.38%;4.16%;-22.06%;36.219.005,12;92.31;84.0;0.53%;-1.35%;-0.83%;0.43%;;;0
RFOF11;Títulos e Val. Mob.;82;3896.0;0.42;0.52%;1.2%;0,00%;0,00%;0.4%;0,00%;0,00%;1.78%;9.12%;9.69%;-1.04%;101.271.714,14;93.93;87.0;0.27%;-0.29%;-0.02%;-2.43%;;;0
BBFI11B;Lajes Corporativas;2337.85;124.0;25.06;1.07%;3.12%;6.04%;11.61%;1.04%;1.01%;0.97%;8.02%;2.07%;3.16%;-13.87%;408.052.321,27;3138.86;74.0;0.81%;0.03%;0.84%;5.46%;72.2%;;2
TEPP11;Lajes Corporativas;96.45;2916.0;0.5;0.54%;1.65%;3.32%;0,00%;0.55%;0.55%;0,00%;4.39%;3.57%;4.12%;-9.84%;348.921.938,12;96.47;100.0;0.54%;-0.1%;0.44%;3.58%;11,00%;;3
PATC11;Lajes Corporativas;90;106326.0;0.29;0.33%;0.92%;1.85%;3.88%;0.31%;0.31%;0.32%;2.52%;-0.92%;-0.59%;-16.37%;346.138.143,24;99.54;90.0;0.27%;-0.15%;0.12%;4.87%;0,00%;;5
MFII11;Híbrido;125.09;6557.0;0.98;0.78%;2.32%;5.03%;9.76%;0.77%;0.84%;0.81%;6.55%;2.64%;3.44%;-1.57%;293.760.345,47;117.38;107.0;0.82%;4.7%;5.56%;4.53%;;;9
CXCE11B;Outros;100.14;207.0;0.8;0.78%;2.36%;4.98%;9.72%;0.79%;0.83%;0.81%;6.49%;2.2%;3.01%;-96.06%;147.701.406,79;86.23;116.0;0.94%;-96,00%;-95.97%;-95.76%;0,00%;;1
PLCR11;Híbrido;83.9;4567.0;0.41;0.5%;1.2%;2.29%;0,00%;0.4%;0.38%;0,00%;2.84%;-1.08%;-0.58%;-13.34%;202.682.247,84;96.1;87.0;0.34%;0.28%;0.63%;1.3%;;;0
BPFF11;Títulos e Val. Mob.;82.46;11242.0;0.5;0.6%;1.77%;3.53%;7.94%;0.59%;0.59%;0.66%;4.8%;1.82%;2.42%;-28.05%;249.655.908,27;93.54;88.0;0.58%;3.54%;4.13%;-10.03%;;;0
SARE11;Híbrido;101.99;775.0;0.25;0.25%;0.84%;1.77%;0,00%;0.28%;0.29%;0,00%;2.21%;6.22%;6.48%;-3.48%;360.647.726,32;100.18;102.0;0.27%;0.04%;0.31%;1.6%;0,00%;;2
